order,title,authors,pages
1,A Bela Andorinha da Asinha Quebrada,"Marquinhos Barros, Alexandre Jales",13
2,A Galinha Fofoqueira,"Dalila Jucá, Dione Morais",13
3,A Hora do Banho,"Maria Lucas, Eduardo Vieira",13
4,A Revolta das Letras,"Renildo Franco, Sérgio Melo",13
5,A Sabiá que não Sabia Voar,"Alex Monteiro, Rudson Duarte",13
6,Azuleta,"Nayde Farias, Paula Rodrigues",13
7,Borboletas Bailarinas,"Rejanne Mota, Walesca Félix",13
8,Essa História vem do Mar,"Dione Morais, Daniel Diaz",13
9,O Pequeno Peixe Encantado,"Elaine Custódio, Wendel Medeiros",13
10,O Principezinho Malcriado,"Alexandre Cézar, João Bosco",13
11,Valsinha Circense,"Antonio Filho, Nathália Forte",13
12,Cuidado com o Lobo,"Socorro Ventura, Felipe Dias",13
13,A Magia das Letras,"Edmar de Freitas, Mings",13
14,As Aventuras do Peixinho Coró,"Hildebrando Carvalho, Érico Gondim",13
15,Brincar de quê?,"Francisco de Assis Alves, Klaudiana Torres",13
16,Cada Passarinho no seu Cantinho,"Mano Kléber, Alexandre de Souza",13
17,História de Vaqueiro,"Pedro Campos, Eduardo Azevedo",13
18,Lancelote e Canarinho,"Katiana Queiroz, Sara Nina",13
19,Matilde viu o Maracatu,"Lourival Mourão Veras, Li Mendes",13
20,O Casório da Raposa,"Ana Rita, Débora Cavalcante",13
21,O Dragão do Mar,"José Marcos de Castro Martins, Raisa Christina",13
22,O Papagaio Tagarela,"Linda Dias, Carlus Campos",13
23,Outra História de Iracema,"Domar Vieira, Henrique Jorge",13
24,Sapo Zé e a Lagarta Kaká,"Erilene Viera Rocha, Mariza Brito",13
25,A bela dança da Lua e do Sol,"Flávio Marcelo, Ceci Shiki",13
26,A Família Musical de Joãozinho,"Luciana Costa, Adams Pinto",13
27,A Filha do Rei Sol,"Rafael Ferreira, Suzana Paz",13
28,A lenda dos animais que voavam,"Felipe Neto, LeoBDSS",13
29,Dom Ratão - o rei da confusão,"Elisabete Viana, Breno Macedo",13
30,As aventuras de Xexeu e Fuxico,"Saskia Brígido, Silas Rodrigues",13
31,"Os segredos de Nilo, o gambá!","Patrícia Berreira, Juliana Chagas",13
32,Quero meu cabelo assim,"Marcelo Franco e Souza, Cris Soares",13
33,O calango lango tango queria ser jacaré,"",13
34,O Moleque de Recados,"Luciano Sousa, Guabiras",13
