word,with-error
,aparecida
a-ra-me,
a-ra-pon-ga,
a-ma-re-lo,
ba-bá,
ba-lão,
ba-lé,
ba-na-na,
ba-ta-ta,
be-co,
be-la,
be-lo,
be-sou-ro,
bi-cho,
bi-co,
bi-la,
bo-ca,
boi,
bo-né,
bo-ta,
bo-la,
bo-lo,
,bu
,bão
ca-be-lo,
ca-bi-de,
ca-bra,
ca-bri-to,
ca-chor-ro,
ca-já,
ca-jú,
cal,
ca-lo,
ca-ma,
ca-me-lo,
ca-ne-co,
ca-ne-ta,
ca-no,
,car
ca-ran-gue-jo,
ca-re-ta,
ca-sa,
ca-sa-co,
ca-va-lo,
ce-a-rá,
ce-cí-lia,
ce-lei-ro,
ce-lu-lar,
ci-men-to,
ci-pó,
co-la,
co-le-ta,
co-le-te,
co-lher,
co-lo,
co-lí-rio,
co-mi-da,
co-ra-ção,
cor-dei-ro,
cu-ca,
cu-ru-pi-ra,
cão,
céu,
cô-co,
e-co-lo-gi-a,
e-ma,
fa-da,
fe-ra,
fu-la-no,
,fão
ga-to,
ge-lei-a,
gi-nás-ti-ca,
gi-ra-fa,
gi-ra-sol,
go-ma,
go-ri-la,
gér-be-ra,
i-a-ra,
ja-bo-ti,
ja-ca,
ja-ca-ré,
ja-ne-la,
ja-pão,
ja-que-ta,
jar-ro,
ji-ló,
ji-pe,
jo-ca,
ju-ju-ba,
ju-men-to,
,jão
la-gar-ta,
la-gar-ti-xa,
la-go-a,
la-ma,
lá-pis,
la-ta,
la-ço,
lei-te,
le-me,
le-o-a,
le-o-par-do,
le-tra,
le-ve,
le-ão,
li-bé-lu-la,
li-ma,
li-mão,
li-vro,
li-xa,
li-xo,
li-ção,
,lo-ba-to
lo-cal,
lo-to,
lo-ção,
lu-a,
lu-gar,
lu-ne-ta,
lu-ta,
,lão
ma-la,
ma-mão,
ma-mí-fe-ro,
ma-ra-cu-já,
ma-ça,
me-lão,
mo-la,
mo-le,
mo-lho,
mo-to,
mu-la,
mão,
na-riz,
na-tal,
na-ta-ção,
ne-bli-na,
ne-bli-nar,
ne-gó-cio,
ne-gro,
ne-to,
ne-ve,
ni-ce,
ni-nar,
no-tí-cia,
no-vi-da-de,
no-vo,
nu-vem,
não,
nú-me-ro,
pa-cu,
pa-li-to,
pa-no,
pa-ra-cu-ru,
pa-ra-le-le-pi-pe-do,
pa-vão,
pás-sa-ro
pe-dra,
pe-lé,
pe-ri-go,
pe-ru,
pe-te-ca,
pi-co-lé,
pi-lão,
pi-a-no,
pin,
pi-po-ca,
pi-ru-li-to,
pi-rão,
po-le-gar,
po-mar,
po-te,
po-ço,
pu-lo,
pão,
pé,
pé-ro-la,
rai-o,
ra-po-sa,
ra-que-te,
re-fri-ge-ran-te
he-li-cóp-te-ro,
lo-bo,
re-co-re-co,
re-de,
re-ló-gio,
re-mé-dio,
re-ta,
ri-no-ce-ron-te,
ro-ma,
rã,
,rão
ré-gua,
sa-bi-á,
sa-ci pe-re-rê,
sai-a,
sa-pa-ti-lha,
san-du-í-che,
se-le-ção,
si-lên-cio,
si-nal,
so-cor-ro,
sol,
so-nhar,
su-bir,
são,
ta-ci-a-na,
tai-pa,
ta-pe-te,
ta-pi-o-ca,
ta-ti-a-na,
ta-tu,
ta-xi,
te-a-tro,
,tel
te-lha-do,
te-re-sa,
te-to,
ti-ge-la,
ti-jo-lo,
ti-me,
titio,
to-ma-te,
,tão
xa-drez,
xa-le,
xa-ro-pe,
xa-xim,
xu-xa,
ze-bra,
